職務類別,工作地區,學歷要求,工作經驗,公司規模,產業類別,上班時間,需求技能數量,薪資,職缺名稱,公司名稱
業務,新北市三重區,大學,不拘,5,精密儀器相關製造業,日班,5,39500,業務專員,台灣諾曼達科技有限公司
業務,台北市中山區,碩士,不拘,100,儲配／運輸物流業,日班,3,43500,業務助理,華夏國際股份有限公司
業務,台北市松山區,大學,不拘,60,電腦軟體服務業,日班,4,39000,業務助理,曜祥網技股份有限公司
業務,台中市西屯區,碩士,不拘,0,飲料製造業,日班,0,42500,業務專員,YUN DING FOOD & BEVERAGE_蕓鼎企業股份有限公司
業務,高雄市左營區,碩士,不拘,0,其他金融及輔助業,日班,0,164750,業務人員,吉盛當舖
業務,新北市淡水區,碩士,不拘,0,其他商品批發業,日班,7,29500,業務助理,茂盛實業有限公司
業務,台北市北投區,專科,不拘,10,其他商品批發業,日班,0,40000,業務,昌威國際貿易有限公司
業務,新北市樹林區,專科,不拘,30,金屬加工用機械製造修配業,日班,3,38500,業務助理,翔懋實業股份有限公司
業務,台北市信義區,碩士,不拘,0,綜合商品批發代理業,日班,0,40000,內勤業務,川飛能源股份有限公司
業務,新北市蘆洲區,碩士,不拘,12,藥品／化妝品及清潔用品批發業,日班,4,36000,國內業務,奇潔有限公司
業務,新北市林口區,碩士,不拘,0,百貨相關業,日班,0,69000,北區業務,鍾愛一生床業有限公司
業務,台北市內湖區,專科,不拘,45,網際網路相關業,日班,4,37500,業務助理,朔宇科技股份有限公司
業務,新北市中和區,大學,不拘,65,其他電子零組件相關業,日班,6,37500,業務助理,百星實業股份有限公司
業務,台中市大雅區,專科,不拘,0,其他電子零組件相關業,日班,5,37500,業務助理,DMS_韓商電美世股份有限公司台灣分公司
業務,台南市南區,大學,不拘,14,光電產業,日班,4,40000,業務人員,風華科技股份有限公司
業務,新北市汐止區,專科,不拘,0,檢測技術服務,日班,0,55000,業務代表,倍科檢驗科技有限公司
業務,新北市汐止區,碩士,不拘,0,其他醫療保健服務業,日班,4,30000,業務助理,微杏基因生醫科技有限公司
業務,台中市西屯區,大學,不拘,100,餐館業,日班,6,35000,婚禮企劃業務(底薪+獎金) -【萊特薇庭】,萊特薇庭_新薇股份有限公司
業務,彰化縣芳苑鄉,碩士,不拘,20,其他金屬相關製造業,日班,0,37500,業務助理,鎮鑫工業股份有限公司
業務,新北市中和區,碩士,不拘,45,汽車及其零件製造業,日班,4,37500,業務助理,歐普特光電科技股份有限公司
業務,桃園市桃園區,碩士,不拘,200,人身保險業,日班,0,500000,業務人員,諾億保險經紀人股份有限公司_桃園分行(李柏賢)
業務,台中市南屯區,碩士,不拘,0,其他紡織業,日班,8,41500,業務助理,鉅宸紡織股份有限公司
業務,新北市土城區,專科,不拘,120,其他金屬相關製造業,日班,5,36500,業務助理,振躍精密滑軌股份有限公司
業務,高雄市鼓山區,碩士,不拘,15,診所,日班,3,90000,業務,長佑診所
業務,新北市土城區,碩士,不拘,0,食品什貨零售業,日班,0,43000,業務助理,臻之饌食品有限公司
業務,新北市中和區,專科,不拘,50,消費性電子產品製造業,日班,6,32500,業務助理,上旺科技股份有限公司
業務,新北市新店區,專科,不拘,30,書籍出版業,日班,4,36500,業務助理,常春藤英語_賴世雄智網文教股份有限公司
業務,高雄市左營區,碩士,不拘,30,綜合商品批發代理業,日班,5,36500,業務秘書,瑞滬企業股份有限公司
業務,桃園市蘆竹區,專科,不拘,24,綜合商品批發代理業,日班,5,35000,業務助理,雄牧企業有限公司
業務,台中市西屯區,碩士,不拘,25,其他醫療保健服務業,日班,3,35000,業務助理,禾翔醫藥生技有限公司
業務,新北市中和區,專科,不拘,98,電力機械器材製造修配業,日班,4,36000,業務助理,力科光電股份有限公司
業務,台北市大同區,碩士,不拘,0,人身保險業,日班,0,500000,業務經理,永達保險經紀人股份有限公司_北四之八通訊處(袁凱貞)(永核字第1120809號)
業務,彰化縣芳苑鄉,碩士,不拘,20,塑膠製品製造業,日班,2,31000,業務助理,豐溢綠能材料股份有限公司
業務,台北市內湖區,專科,不拘,22,醫療器材製造業,日班,0,40000,業務助理,聯杏股份有限公司
